,ISBN,Title,Author,Authors_Number,Description,Genres,Average_Ratings,Reviews_Number,Quotes_Number,Community_Size,Pages_Number,Editions,Publication_Year,Publisher,URL,Cover_URL
0,ISBN 13 9789777196819,ماجدولين,تأليف مصطفى لطفي المنفلوطي (تأليف),"المؤلفون
1",الحُبُّ هو ذلك السلاح الذي يقضي أحيانًا على آمالنا، وربما على حياتنا. هذا هو محور الرواية التي تدور أحداثها حول وفاء «استيفن» لمحبوبته «ماجدولين» التي لم تترد كثيرًا في بيعه بالمال؛ فتزوجت من صديقه «إدوار» الذي كان يقاسمه في المأكل والمسكن. ويتبدل الحال وينتقم الدهر؛ فيفقد «إدوار» ثروته وينتحر، تاركًا 			مصطفى لطفي بن محمد لطفي بن حسن لطفي أديب وشاعر مصري نابغ في الإنشاء والأدب، انفرد بأسلوب نقي في مقالاته، له شعر جيد فيه رقة، قام بالكثير من الترجمة والاقتباس من بعض روايات الأدب الفرنسي الشهيرة بأسلوب أدبي فذ، وصياغة عربية في غاية الروعة. لم يحظ بإجادة اللغة الفرنسية لذلك زوجته فقيرة ومدينة، بينما يرث «استيفن» ثروة كبيرة. وتشعر «ماجدولين» بالذنب؛ فتذهب لحبيبها السابق معلنة ندمها وتوبتها، غير أن كرامته تسمو فوق حُبِّه؛ فيرفض توبتها، ولكنه يساعدها على تجاوز أزمتها المالية. ولم تُطق « ماجدولين» الحياة فتنتحر، ويدرك «استيفن» أن قلبه لا زال نابضًا بحبها فيودع الحياة غير آسف. وكانت آخر وصاياه أن يُدفن بجوار حبيبته؛ وكأنه يقول للقدر إن أبيت أن تجمعنا فى الحياة بأجسادنا فها نحن مجتمعون بأرواحنا.	 استعان بأصحابه الذين كانوا يترجمون له الروايات ومن ثم يقوم هو بصياغتها وصقلها في قالب أدبي. كتاباه النظرات والعبرات يعتبران من أبلغ ما كتب في العصر الحديث.ولد مصطفى لطفي المنفلوطي في منفلوط إحدى مدن محافظة أسيوط في سنة 1289 هـ الموافق 1876م ونشأ في بيت كريم توارث اهله قضاء الشريعة ونقابة الصوفية قرابة مائتى عام ونهج المنفلوطى سبيل آبائه في الثقافة والتحق بكتاب القرية كالعادة المتبعة في البلاد آنذاك فحفظ القرآن الكريم كله وهو دون الحادية عشرة ثم أرسله ابوه إلى الأزهر بالقاهرة تحت رعاية رفاق له من أهل بلده وقد اتيحت له فرصة الدراسة على يد الشيخ محمد عبده,أدب عام,4,"مراجعات
291","اقتباسات
482","القرّاء
22175",279 صفحة,"طبعات
12",نشر سنة 2014,مؤسسة هنداوي للتعليم والثقافة,https://www.abjjad.com/book/15445318/%D9%85%D8%A7%D8%AC%D8%AF%D9%88%D9%84%D9%8A%D9%86/2608889856/reviews,https://abjjadst.blob.core.windows.net/pub/6afa38e7-6faa-4b62-b417-b01fb1811a15-192X290.png
1,ISBN 13 9786144321799,أحببتك أكثر مما ينبغي,تأليف أثير عبد الله النشمي (تأليف),"المؤلفون
1","تنقل الرواية بصدق عميق ما يدور في أعماق المرأة في حالة حب،ّ من أحاسيس وأفكار وتناقضات، إذ تظن أن الخيار الصعب إلى أقسى مداه يكمن في الحفاظ على مشاعر الحبّ الجياشة واستمرارها، على حساب التنكّر للذات الواعية والمدركة لتلاعب الطرف الآخر بها، لكنها بأي حال، وحتى في حال دفع الحساب، 
			روائية سعودية مقيمة فى الرياض وكاتبة.مهتمة بالتربية الخاصة والطفولة وأدب الطفل لن تحصل على مبتغاها.تظنُّ بأنني قادرة على أن أترك كل شيء خلفي وأن أمضي قُدماً.. لكنني مازلتُ معلقة، ما زلت أتكئ على جدارك الضبابي بانتظار أن تنزل سلالم النور إليَّ من حيث لا أحتسب، سلالم ترفعني إلى حيث لا أدري وتنتشلني من كل هذه الُلجَّة..قهرني هذا الحب، قهرني لدرجة أنني لم أعد أفكر في شيء غيره، أحببتك إلى درجة أنك كنت كل أحلامي.. لم أُكن بحاجة لحلم آخر.. كنت الحلم الكبير، العظيم، الشهي.. المطمئن.. الذي لا يضاهيه في سموه ورفعته حلم.. أقاومك بضراوة، أقاوم تخليك عني بعنف أحياناً وبضعف أحياناً أخرى، أقاوم رغبتك في أن تتركني لأنه لا قُدرة لي على أن أتقبّل تركك إياي.. أصرخ في وجهك حيناً، وأبكي أمامك حيناً آخر ومخالب الذل تنهش أعماقي.. مصلوب أنت في قلبي.. فرجُلُ مثلك لا يموت بتقليدية، رجل مثلك يظل على رؤوس الأشهاد.. لا يُنسى ولا يرحل ولا يموت كباقي البشر..",أدب روايات,3.7,"مراجعات
288","اقتباسات
315","القرّاء
18276",667 صفحة,"طبعات
1",نشر سنة 2014,دار الفارابي,https://www.abjjad.com/book/15445430/%D8%A7%D8%AD%D8%A8%D8%A8%D8%AA%D9%83-%D8%A7%D9%83%D8%AB%D8%B1-%D9%85%D9%85%D8%A7-%D9%8A%D9%86%D8%A8%D8%BA%D9%8A/2195554661/reviews,https://abjjadst.blob.core.windows.net/pub/369c6a19-3ed7-4d0f-a449-6f8173cf6abd-192X290.png
2,ISBN 13 9789953892573,قواعد العشق الأربعون,تأليف إليف شافاق (تأليف) محمد درويش (ترجمة),"المؤلفون
2","بلغت بطلة الرواية، إيلاّ الزوجة التعيسة، سنّ الأربعين عندما قرأت رواية
تتناول حياة جلال الدين الرومي ومعلّمه الدرويش الصوفي شمس التبريز. فسحرتها قواعد شمس التي تضيئ مفاهيم فلسفة قديمة حول وحدة الشعوب والأديان، حول شغف الشعر وحول عمق الحبّ المدفون في كلّ فرد منّا. فتُقلب حياة ""إيلاّ"" رأسًا على عقب...
				روائية تركية تكتب باللغتين التركية والانجليزية.ولدت إليف بيلغين في ستراسبورغ لوالدين هما الفيلسوف نوري بيلغين وشفق أتيمان التي أصبحت دبلوماسية فيما بعد. انفصل والدها عندما كان عمرها عامًا واحدًا فربتها أمها.حصلت روايتها الأولى Pinhan (أي الصوفي) على جائزة رومي لأفضل عمل أدبي في تركيا عام 1998. أما روايتها الثانية Şehrin Aynaları (أي مرايا المدينة) فتتطرق إلى التصوف عند المسلمين واليهود في خلفية بحر متوسطية في القرن السابع عشر. وحصلت روايتها Mahrem (أي النظرة العميقة) على جائزة اتحاد الكتاب التركيين عام 2000. وحققت روايتها التالية Bit Palas (أي قصر البرغوث) أعلى مبيعات في تركيا، وتبعها كتاب Med-Cezir (أي المد والجزر) وتناقش فيه قضايا حول مكانة المرأة والرجل والجنس والذهن والأدب.في عام 2006 أصدرت رواية The Bastard of Istanbul (أي لقيطة إسطنبول) باللغة الإنجليزية وحققت أعلى المبيعات في تركيا. وتعرض شفق في هذه الرواية -بين قضايا أخرى- لقضية الأرمن، وقد أدى هذا إلى ملاحقتها قضائيًا في تركيا بحسب الفقرة 301 من القانون",أدب روايات أدب أدب مترجم,4.2,"مراجعات
296","اقتباسات
277","القرّاء
17462",962 صفحة,"طبعات
3",نشر سنة 2015,دار الآداب,https://www.abjjad.com/book/2138898432/%D9%82%D9%88%D8%A7%D8%B9%D8%AF-%D8%A7%D9%84%D8%B9%D8%B4%D9%82-%D8%A7%D9%84%D8%A7%D8%B1%D8%A8%D8%B9%D9%88%D9%86-%D8%B1%D9%88%D8%A7%D9%8A%D8%A9-%D8%B9%D9%86-%D8%AC%D9%84%D8%A7%D9%84-%D8%A7%D9%84%D8%AF%D9%8A%D9%86-%D8%A7%D9%84%D8%B1%D9%88/2173732049/reviews,https://abjjadst.blob.core.windows.net/pub/44a22888-7eea-4714-9c54-3dbf463eccdd-192X290.png
3,ISBN 13 9789777195782,الأرواح المتمردة,تأليف جبران خليل جبران (تأليف),"المؤلفون
1","«الأرواح المتمردة» هو كتاب صدر لأول مرة في مدينة نيويورك عام ١٩٠٨م، يجمع فيه جبران أربع قصص هي: وردة الهاني، وصراخ القبور، ومضجع العروس، وخليل الكافر. وتوضح هذه القصص كيف تتمرد هذه الأرواح على العادات والتقاليد والشرائع والقوانين التي تفرضها السلطة لتكبت بها حرية الإنسان، وتحد من فِكْرِهِ وأفعاله، وفي 			فيلسوف وشاعر وكاتب ورسام لبناني أمريكي، ولد في 6 يناير 1883 في بلدة بشري شمال لبنان وتوفي في نيويورك 10 ابريل 1931 بداء السل, ويعرف أيضاً بخليل جبران وهو من أحفاد يوسف جبران الماروني البشعلاني. هاجر وهو صغير مع أمه وإخوته إلى أمريكا عام 1895 الذي درس فيها الفن وبدأ نفس الوقت تفرض امتيازًا حقوقيًّا لفئة من الناس على حساب أخرى. ويجمع جبران في هذا الكتاب المجنونَ بالعاقل، والمتمردَ بالمطيع، والمظلومَ بالظالم، والساقطةَ بالفاضلة، وذلك بأسلوب موسيقي عذب يرسم من خلاله عواطف طبقات الناس المتفاوتة، من الشحاذ إلى الغني، ومن الملحد إلى القديس.	 مشواره الأدبي. اشتهر عند العالم الغربي بكتابه الذي تم نشره سنة 1923 وهو كتاب ""النبي"". أيضاً جبران هو الشاعر الأفضل مبيعاً, بعد شكسبير ولاوزي.كان في كتاباته اتجاهان، أحدهما يأخذ بالقوة ويثور على عقائد الدين، والآخر يتتبع الميول ويحب الاستمتاع بالحياة. ومن مؤلفاته باللغة العربية:دمعة وابتسامةالأرواح المتمردة.الأجنحة المتكسرة.العواصف (رواية).البدائع والطرائف: مجموعة من مقالات وروايات تتحدث عن مواضيع عديدة لمخاطبة الطبيعة ومن مقالاته ""الأرض"". نشر في مصر عام 1923.عرائس المروجنبذة في فن الموسيقىالمواكبو باللغة الإنجليزية:النبي مكون من 26 قصيدة شعرية وترجم إلى ما يزيد على 20 لغة.المجنون.رمل وزبد.يسوع ابن الانسان.حديقة النبي.أرباب الأرض.",أدب قصص,4,"مراجعات
225","اقتباسات
398","القرّاء
17391",151 صفحة,"طبعات
6",نشر سنة 2013,مؤسسة هنداوي للتعليم والثقافة,https://www.abjjad.com/book/15445260/%D8%A7%D9%84%D8%A7%D8%B1%D9%88%D8%A7%D8%AD-%D8%A7%D9%84%D9%85%D8%AA%D9%85%D8%B1%D8%AF%D8%A9/2607087617/reviews,https://abjjadst.blob.core.windows.net/pub/d95eb7b7-ebfd-47c1-a1a0-7f709c45bfdc-192X290.png
4,ISBN 13 9789953267135,الأسوَد يليق بكِ,تأليف أحلام مستغانمي (تأليف),"المؤلفون
1","البطلة فنانة جزائرية من الأوراس، كان والدها مطربا قُتل على يد الإرهابييّن. الإرهابييّن قتلوا أخيها أيضًا كما هددوها لأنها مغّنية. غادرت الجزائر مع والدتها السوريّة إلى الشام، وعاشت حياتها كفنانة، لكنها ظلت ترتدي الأسود ولا ترضى بتبديله. البطل لبنانيّ، غنيّ جدًا، أحبّ فيها شموخها وعزّتها وأصالتها. عيّشها أساطير الحبّ التي 			كاتبة جزائرية من مواليد تونس، ترجع أصولها إلى مدينة قسنطينة عاصمة الشرق الجزائري أين ولد أبوها محمد الشريف الذي كان  مشاركا في الثورة الجزائرية. عرف السجون الفرنسية, بسبب مشاركته في مظاهرات 8 ماي 1945. وبعد أن أطلق سراحه سنة 1947 كان قد فقد عمله بالبلدية, ومع ذلك فإنه يعتبر تحلم بها الفتيات، كان كفارس اصطحبها في رحلة عبر ألف ليلة وليلة. وكفارس أيضًا حاول ترويضها لكنه عجز عن السيطرة عليها تمامًا بأمواله، فشعر بالعجز أمامها ولم يسامحها على ذلك.	 محظوظاً إذ لم يلق حتفه مع من مات آنذاك (45 ألف شهيد سقطوا خلال تلك المظاهرات) وأصبح ملاحقًا من قبل الشرطة الفرنسية, بسبب نشاطه السياسي بعد حلّ حزب الشعب الجزائري. الذي أدّى إلى ولادة حزب جبهة التحرير الوطني FLN. عملت في الإذاعة الوطنية مما خلق لها شهرة كشاعرة، انتقلت إلى فرنسا في سبعينات القرن الماضي، حيث تزوجت من صحفي لبناني، وفي الثمانينات نالت شهادة الدكتوراة من جامعة السوربون. تقطن حاليا في بيروت. وهي حائزة على جائزة نجيب محفوظ للعام 1998 عن روايتها ذاكرة الجسد. و من مؤلفاتها على مرفأ الأيام عام 1973.كتابة في لحظة عري عام 1976.ذاكرة الجسد عام 1993.",أدب روايات,3.7,"مراجعات
290","اقتباسات
291","القرّاء
17158",335 صفحة,"طبعات
1",نشر سنة 2012,,https://www.abjjad.com/book/2036137984/%D8%A7%D9%84%D8%A7%D8%B3%D9%88%D8%AF-%D9%8A%D9%84%D9%8A%D9%82-%D8%A8%D9%83/2036137984/reviews,https://abjjadst.blob.core.windows.net/pub/8c8867e2-ef75-40e3-8fc0-4a71715ccc18-192X290.jpg
5,ISBN 13 9789777196864,هكذا خُلقت,تأليف محمد حسين هيكل (تأليف),"المؤلفون
1",روايةٌ واقعيةٌ تركَتْها بين يدَيِ المؤلف امرأةٌ غريبةٌ غامضة، وتركها هو بدوره بين يدَيْ قارئه سرديةً ممتعة، رغم ما يتخللها من شجنٍ ومفارقاتٍ مثيرة. بعد مُضيِّ حوالي أربعة عقود على نشر «محمد حسين هيكل» روايتَهُ الأولى والأشهر «زينب»، عاد في أواخر أيامه ليكتب «هكذا خُلِقَت»، التي تمثِّل المرأةُ محورَهَا هي 			شاعر وأديب وسياسي كبير مصري، ولد في 20 أغسطس 1888م الموافق 12 ذو الحجة 1305 هـ في قرية كفر غنام في مدينة المنصورة، محافظة الدقهلية، مصر.درس القانون في مدرسة الحقوق الخديوية بالقاهرة وتخرج منها في عام 1909م. حصل على درجة الدكتوراه في الحقوق من جامعة السوربون في فرنسا سنة 1912م، الأخرى. نقرأ بين سطور هذه الرواية المرأةَ المصريةَ في منتصف القرن العشرين، من خلال قصة امرأةٍ قاهريةٍ ثائرةٍ على وضعها الاجتماعي، وهو الوضع الذي أشعل بداخلها الرغبة في ترك بيت أبيها والزواج ممن تحب، لتحوِّل حياته بعد ذلك — رغم ما بينهما من حُبٍّ — إلى جحيم، حتى يصل الأمر إلى الطلاق بعد المرور بالكثير من أفعال الغَيْرة والأنانية والمغالاة. ولا ينتهي الأمر عند هذا الحد، بل إنها تتزوج بعده من أحد أصدقائه، وتظلُّ تتمادى في الإساءة إلى الزوجين السابق واللاحق. فهل تثوب هذه المرأة إلى رُشْدها أخيرًا؟ أم تظلُّ الضحيةَ والجانيَ في آنٍ واحد؟	 ولدي رجوعه إلى مصر عمل في المحاماة 10 سنين، كما عمل بالصحافة. اتصل بأحمد لطفي السيد وتأثر بأفكاره، والتزم بتوجيهاته، كما تأثر بالشيخ محمد عبده وقاسم أمين وغيرهم.كان عضوًا في لجنة الثلاثين التي وضعت دستور 1923، أول دستور صدر في مصر المستقلة وفقًا لتصريح 28 فبراير 1922م. لما أنشأ حزب الأحرار الدستوريين جريدة أسبوعية باسم السياسة الأسبوعية عين هيكل في رئاسة تحريرها سنة 1926. اختير وزيرًا للمعارف في الوزارة التي شكلها محمد محمود عام 1938م، ولكن تلك الحكومة استقالت بعد مدة، إلا أنه عاد وزيرًا للمعارف للمرة الثانية سنة 1940م في وزارة حسين سري، وظل بها حتى عام 1942م، ثم,أدب روايات,3.8,"مراجعات
176","اقتباسات
222","القرّاء
16010",428 صفحة,"طبعات
4",نشر سنة 2014,مؤسسة هنداوي للتعليم والثقافة,https://www.abjjad.com/book/2019491840/%D9%87%D9%83%D8%B0%D8%A7-%D8%AE%D9%84%D9%82%D8%AA/2609250324/reviews,https://abjjadst.blob.core.windows.net/pub/cbb863f2-e58c-4fa5-80f3-2cba733f258f-192X290.png
6,ISBN 13 9789953269092,نسيان com,تأليف أحلام مستغانمي (تأليف),"المؤلفون
1","هذا الكتاب للكاتبة الشهيرة والتي ""صُنّفت من بين النساء العشر الأكثر تأثيراً في العالم العربي، والأولى في مجال الأدب بتجاوز مبيعات كتبها مليونين وثلاثمئة ألف نسخة""، هو ""جردة نسائية ضدّ الذكورة، دفاعاً عن الرجولة، تلك الآسرة التي نباهي بوقوعنا في فتنتها، إذ من دونها ما كنّا لنكون إناثاً ولا نساءً"". 			كاتبة جزائرية من مواليد تونس، ترجع أصولها إلى مدينة قسنطينة عاصمة الشرق الجزائري أين ولد أبوها محمد الشريف الذي كان  مشاركا في الثورة الجزائرية. عرف السجون الفرنسية, بسبب مشاركته في مظاهرات 8 ماي 1945. وبعد أن أطلق سراحه سنة 1947 كان قد فقد عمله بالبلدية, ومع ذلك فإنه يعتبر بلغتها البليغة الجميلة والمباشرة والواضحة، تعبّر الكاتبة عن حقائق موجودة وواقعية وحسية، لا تتخيل منها شيئا، بل قد تتعدى أحياناً تفاصيل واقعها الفعلي حدود أي خيال رحب، ثم تصل إلى نتائج واستنتاجات وبيانات وأحكام ونصائح مهما اختلفت الاراء في تأثيرها ومفعولها وحكمتها، ومهما تنوعت ردود الفعل عليها، فإن مصدرها صادق وغني ونابع من تجربة ومن فضول ميداني بعيد كل البعد عن التنظير والنظرية، يكشف بالكشافات الضوئية الساطعة كل زوايا وخفايا ما يدور في ساحات مساحات واسعة حقيقية.تشكو الكاتبة من اختفاء رجولة ""الرجال""، بما معناه اختفاء كل الصفات الأخلاقية والعشقية الحميدة التي تتوخاها المرأة منهم، فكيف الخلاص للمرأة في حبها للرجل؟ تجد لها حلا وتنصحها وتدعوها: ""أحبيه كما لم تحب امرأة/ وانسيه كما ينسى الرجال""، هي لا تتوق إلى التماثل مع الرجال ""قليلي الحب""، بصورتهم الحالية المندّد بها، فلتبق المرأة على طبيعتها الأصلية في حبها ومحبتها للرجل، ولتتعلم فقط كيف تكون كالرجال في النسيان. تأتي الكاتبة على ذكر العديد من الشعراء والفلاسفة والكتّاب، وتستشهد بأقوالهم وأحاديثهم التي تقوّي عصب موضوعها وتغنيه: ""لا يمكن حصر عدد الكتّاب الذين، عبر الأزمنة والحضارات وبكل اللغات، عملوا مرشدين عاطفيين للتائهين من العشاق في الأزقة والشوارع الجانبية للحبّ. ليس لي هذا الادّعاء. أنا مجرد ممرضة لا تملك سوى حقيبة إسعافات أوّلية لإيقاف نزيف القلوب الأنثوية عند الفراق "". ""في النهاية، ما النسيان سوى قلب صفحة من كتاب العمر""، لكن قد يكون وزن الصفحة ثقيلا بحيث وجدت الكاتبة لنفسها دوراً في تخفيف هذا الوزن ما استطاعت، بل وقلب الصفحة نيابة عن القارئ. تقول بتواضع وهدف عملي نبيل: ""دعوني أحاول، ربما استطعت قلب صفحتكم هذه. ذلك أنه من الأسهل قلب صفحة الآخرين"". يتضمن الكتاب المرفق بـ C.D بعنوان ""أيها النسيان هبني قبلتك"" من كلمات الكاتبة، وألحان وغناء جاهدة وهبي، عدداً من إشارات الفصول تحمل هذه العناوين: هكذا تورطت في هذا الكتاب، وهاتف النسيان، ونصائح بقطيع من الجمال، وصفات لنسيان رجل، وكما ينسى الرجال، وكمائن الذاكرة، ونساء في مهبّ النسيان، ومن قصص النساء الغبيات، وتانغو النسيان وميثاق شرف أنثوي. كتاب ممتع وملفت ومثير للمعرفة وللجدل في مواضيع تهم القرّاء، فيه الكثير من الحقائق والأحاسيس وجعبة من الاستنتاجات حصيلة تجارب ومراقبة ميدانية للأوضاع بحيث يمكن لأي امرأة، ولأي رجل، الاستفادة من صدقها وواقعيتها	 محظوظاً إذ لم يلق حتفه مع من مات آنذاك (45 ألف شهيد سقطوا خلال تلك المظاهرات) وأصبح ملاحقًا من قبل الشرطة الفرنسية, بسبب نشاطه السياسي بعد حلّ حزب الشعب الجزائري. الذي أدّى إلى ولادة حزب جبهة التحرير الوطني FLN. عملت في الإذاعة الوطنية مما خلق لها شهرة كشاعرة، انتقلت إلى فرنسا في سبعينات القرن الماضي، حيث تزوجت من صحفي لبناني، وفي الثمانينات نالت شهادة الدكتوراة من جامعة السوربون. تقطن حاليا في بيروت. وهي حائزة على جائزة نجيب محفوظ للعام 1998 عن روايتها ذاكرة الجسد. و من مؤلفاتها على مرفأ الأيام عام 1973.كتابة في لحظة عري عام 1976.ذاكرة الجسد عام 1993.",أدب روايات,3.6,"مراجعات
145","اقتباسات
348","القرّاء
15685",283 صفحة,"طبعات
2",نشر سنة 2013,,https://www.abjjad.com/book/15445977/%D9%86%D8%B3%D9%8A%D8%A7%D9%86-com/2170258440/reviews,https://abjjadst.blob.core.windows.net/pub/dc8c1b43-4b43-4b59-8ba7-719918ec7ef7-192X290.png
7,شركة المطبوعات للتوزيع والنشر,الخيميائي,تأليف باولو كويلو (تأليف) جواد صيداوي (ترجمة),"المؤلفون
2","الخيميائي هي الرواية الثانية التي كتبها باولو كويليو، والتي حققت نجاحاً عالمياً باهراً، جعل كاتبها من أشهر الكتاب العالميين.تتحدث الرواية عن راع أندلسي شاب يدعى سانتياغو. مضى للبحث عن حلمه المتمثل بكنزٍ مدفون قرب أهرامات مصر، بدأت رحلته من أسبانيا عندما إلتقى الملك ""ملكي صادق"" الذي أخبره عن الكنز، عَبَرَ 			ولد باولو كويلو في ريو دي جانيرو بالبرازيل في 24 أغسطس لعام 1947. تمنى كويلو في مراهقته أن يغدو كاتباً, إلا أن والدته كان لها رأي آخر عندما صرّح لها بذلك ""عزيزي؛ والدك مهندس, رجل منطقي, عملي, صاحب رؤية واضحة المعالم جدا للعالم. هل تعلم حقا ما هو معنى أن مضيق جبل طارق ماراً بالمغرب حتى بلغ مصر، وكانت توجهه طوال الرحلة إشارات غيبية.وفي طريقه للعثور على كنزه الحلم، أحداث كثيرة تقع، كل حدث منها استحال عقبة تكاد تمنعه من متابعة رحلته، إلى أن يجد الوسيلة التي تساعده على تجاوز هذه العقبة....وهكذا تتلخص الفكرة لهذه الرواية بجملة قالها الملك لسانتياغو :""إذا رغبت في شيء.. فإن العالم كله يطاوعك لتحقيق رغبتك""	 تصبح كاتباً؟"" وفي السادسة عشر من عمره, أدت إنطوائية كويلو ومقاومته لسلوك الطرق التقليدية في الحياة بوالديه إلى أن يرسلاه إلى مؤسسة عقلية, وهو ما دفعه إلى الهرب منها ثلاث مرات قبل أن يُطلق سراحه منها نهائيا في العشرين من عمره! ولقد عقّب كويلو على ذلك الموضوع فيما بعد قائلا "" لم تكن المسألة أنهما يريدان (يعني والديه) إيذائي, كانا فقط يجهلان ما ينبغي عليهما فعله اتجاهي. إنهما لم يقوما بذلك لأجل تدميري, بل لأجل الحفاظ عليّ"". ونزولاً على رغبات والديه؛ إلتحق كويلو بمدرسة القانون وهجر حلمه القديم في أن يصبح كاتباً. وبعد ذلك بعام واحد؛ ترك كويلو المدرسة وعاش",أدب روايات أدب أدب مترجم,4,"مراجعات
387","اقتباسات
226","القرّاء
12495",204 صفحة,"طبعات
6",نشر سنة 2013,,https://www.abjjad.com/book/15446453/%D8%A7%D9%84%D8%AE%D9%8A%D9%85%D9%8A%D8%A7%D8%A6%D9%8A/2178744633/reviews,https://abjjadst.blob.core.windows.net/pub/d3674c0c-c44f-49e1-9dd8-0ef90c8d61a3-192X290.JPG
8,ISBN 13 9789770915349,أولاد حارتنا,تأليف نجيب محفوظ (تأليف),"المؤلفون
1","تعتبر رواية ""أولاد حارتنا"" لنجيب محفوظ من حيث المضمون، الرواية الأكثر تطرفًا في إثارة حفيظة الأوساط المتدينة والمحافظة، وأكثرها جرأةً في تناولها للذات الإلهية منذ الفترة الاعتزالية وحتى يومنا هذا.. حيث اعتبر المعنزلة الله منزهاً من الأخطاء فعُطّلت صفاتُه ثم أُطلق عليها اسم ""المعطلة"". وهذه الرواية تسرد لنا حياة الأنبياء 			روائي مصري حائز على جائزة نوبل في الأدب. وُلد في 11 ديسمبر 1911، وتوفي في 30 أغسطس 2006. كتب نجيب محفوظ منذ بداية الأربعينيات واستمر حتى 2004. تدور أحداث جميع رواياته في مصر، وتظهر فيها ثيمة متكررة هي الحارة التي تعادل العالم. من أشهر أعماله الثلاثية وأولاد حارتنا التي مُنعت كما رآها محفوظ من وجهة نظره. وفيها يحاول الكاتب أن يصوّر للقراء مدى الظلم الإلهي الذي حلّ بالبشر وخصوصًا الضعفاء، منذ أن طرد الله آدم من الجنة وحتى اليوم، ثم طرد الربُ الذي أصبح عجوزًا لا يقوى على شيء، الأشرارَ يعيثون في الأرض فسادًا وينزلون أشد العقوبات بالضعفاء.. كما أنه نسي وتناسى أن يعطي الفقراء نصيبهم من هذه الدنيا..	 من النشر في مصر منذ صدورها وحتى وقتٍ قريب. بينما يُصنف أدب محفوظ باعتباره أدباً واقعياً، فإن مواضيع وجودية تظهر فيه.محفوظ أكثر أديبٍ عربي حولت أعماله إلى السينما والتلفزيون.سُمي نجيب محفوظ باسمٍ مركب تقديراً من والده عبد العزيز إبراهيم للطبيب أبوعوف نجيب باشا محفوظ الذي أشرف على ولادته التي كانت متعسرة. بدأ نجيب محفوظ الكتابة في منتصف الثلاثينيات، وكان ينشر قصصه القصيرة في مجلة الرسالة. في 1939، نشر روايته الأولى عبث الأقدار التي تقدم مفهومه عن الواقعية التاريخية. ثم نشر كفاح طيبة ورادوبيس منهياً ثلاثية تاريخية في زمن الفراعنة. وبدءاً من 1945 بدأ نجيب محفوظ خطه الروائي الواقعي الذي حافظ",أدب روايات روايات نجيب محفوظ روايات نجيب محفوظ كتب دار الشروق كتب دار الشروق,3.7,"مراجعات
118","اقتباسات
119","القرّاء
10188",1165 صفحة,"طبعات
3",نشر سنة 2006,دار الشروق,https://www.abjjad.com/book/15445109/%D8%A7%D9%88%D9%84%D8%A7%D8%AF-%D8%AD%D8%A7%D8%B1%D8%AA%D9%86%D8%A7/24748456/reviews,https://abjjadst.blob.core.windows.net/pub/1cf6c902-fb60-4576-80fc-91e69f4cfd45-192X290.png
9,ISBN 13 9789776376441,في قلبي أنثى عبرية,تأليف خولة حمدي (تأليف),"المؤلفون
1","في قلب حارة اليهود في الجنوب التونسي تتشابك الأحداث حول المسلمة اليتيمة التي تربت بين أحضان عائلة يهودية، و بين ثنايا مدينة قانا العتيقة في الجنوب اللبناني تدخل بلبلة غير متوقعة في حياة ندى التي نشأت على اليهودية بعيدا عن والدها المسلم. تتتابع اللقاءات و الأحداث المثيرة حولهما لتخرج كلا 			من مواليد 1984 بتونس العاصمةأستاذة جامعية في تقنية المعلومات بجامعة الملك سعود بالرياضمتحصلة على الدكتوراه في بحوث العمليات (أحد فروع الرياضيات التطبيقية) من جامعة التكنولوجيا بمدينة تروا بفرنسا سنة 2011روايتها الأولى الصادرة سنة 2012 تحمل عنوان ""في قلبي أنثى عبرية"" و هي مستوحاة من قصة حقيقية ليهودية تونسية دخلت الإسلام منهما من حياة الرتابة و تسير بها إلى موعد مع القدر. (في قلبي أنثى عبرية) رواية مستوحاة من أحداث حقيقية في قالب روائي مشوقنشأت ريما بين أحضان عائلة جاكوب اليهودية وهم يعتبرونها فردًا منهم. فقد كانت بهجة البيت الذي يقيم فيه الأبوان المتقدمان في السن وابنهما جاكوب، وروحه النابضة بالحياة، بعد أن تزوجت ابنتهما الكبرى وسافرت مع زوجها إلى لبنان. وكان جاكوب أكثرهم تعلقًا بها وحبًا لها. كان شابًا في الثانية والعشرين من عمره حين دخلت ريما ذات السنوات الخمس حياته. فصار يقضي جل أوقاته معها. يلاعبها ويداعبها، يقرأ عليها القصص والحكايات، ويستمتع بانفعالاتها البريئة وضحكاتها العفوية، يشتري لها الألعاب والهدايا، ويستغل أوقات العطل للسفر معها... وكانت والدتها تطمئن عليها بين يديه، ويسعدها أن يمنحها حنان الأب الذي تفتقده.	 بعد تأثرها بشخصية طفلة مسلمة يتيمة الأبوين صمدت في وجه الحياة بشجاعة، و بشخصية شاب لبناني مقاوم ترك بصمة في حياتهاkkjki",أدب روايات,4.2,"مراجعات
250","اقتباسات
103","القرّاء
6870",398 صفحة,"طبعات
3",نشر سنة 2013,كيان للنشر والتوزيع,https://www.abjjad.com/book/2073100288/%D9%81%D9%8A-%D9%82%D9%84%D8%A8%D9%8A-%D8%A7%D9%86%D8%AB%D9%89-%D8%B9%D8%A8%D8%B1%D9%8A%D8%A9/2201518134/reviews,https://abjjadst.blob.core.windows.net/pub/9b0395f9-09a2-4006-aa12-7505670aa01f-192X290.png
